id;username;password;photo;photo_content_type;is_admin;creation_date
1;membre de l’équipe vroum spécialiste;quand;../fake-data/blob/hipster.png;image/png;true;2024-05-03T04:43:41
2;hormis;bzzz équipe turquoise;../fake-data/blob/hipster.png;image/png;true;2024-05-03T11:57:56
3;suivant;dans au point que imaginer;../fake-data/blob/hipster.png;image/png;true;2024-05-03T08:34:48
4;diététiste du fait que bien;à côté de certes snif;../fake-data/blob/hipster.png;image/png;false;2024-05-03T08:49:05
5;pendant pour;ensemble raide ouin;../fake-data/blob/hipster.png;image/png;false;2024-05-02T23:13:13
6;comme sans que;tant où;../fake-data/blob/hipster.png;image/png;true;2024-05-03T00:14:07
7;smack dorénavant brave;bien que;../fake-data/blob/hipster.png;image/png;true;2024-05-03T17:51:37
8;lectorat chut pschitt;près;../fake-data/blob/hipster.png;image/png;false;2024-05-03T03:12:22
9;grâce à séculaire croâ;multiple;../fake-data/blob/hipster.png;image/png;false;2024-05-03T00:48:55
10;cadre;de manière à ce que si bien que;../fake-data/blob/hipster.png;image/png;false;2024-05-03T14:12:40
